Run Date Lifetime
6341 2018-09-24 2643.928038698762
6342 2018-09-25 2620.7294170273804
6344 2018-09-26 2827.0565171697335
6345 2018-09-27 3617.3152173929766
6346 2018-09-28 3976.7466968347917
6347 2018-09-29 4189.687190398417
6348 2018-09-30 4297.262472711656
6349 2018-10-01 4260.602456976307
6350 2018-10-02 4100.5087896181285
6351 2018-10-03 4008.2109137855314
6352 2018-10-04 3907.6844599888013
6353 2018-10-05 3746.7662268260865
6364 2018-10-06 3524.6693792665897
6365 2018-10-07 3343.6765509332995
6366 2018-10-07 3380.028431551486
6367 2018-10-08 3273.584772719122
6370 2018-10-09 3149.0764563640823
6371 2018-10-10 3144.6937981362803
6372 2018-10-11 3061.948862878526
6373 2018-10-12 3040.748666998369
6374 2018-10-13 3022.708613462345
6375 2018-10-14 2996.097251315177
6376 2018-10-15 2972.9378087146974
6377 2018-10-16 2944.2880952596665
6380 2018-10-17 2922.060581959637
6381 2018-10-18 2892.973270709211
6382 2018-10-19 2883.712633908548
6383 2018-10-20 2940.826302264146
6384 2018-10-21 2968.7430016484805
6388 2018-10-23 2986.1838808233633
6390 2018-10-24 3000.7748153392818
6400 2018-10-24 3066.385496118624
6401 2018-10-24 3121.321220882245
6402 2018-10-24 2960.158797547219
6403 2018-10-25 2885.860351096033
6406 2018-10-26 2825.4635908521727
6407 2018-10-27 2740.3331961547833
6412 2018-11-01 3376.3792876022835
6413 2018-11-02 3505.8916742758806
6414 2018-11-03 3907.8318231917156
6416 2018-11-04 4225.351553328435
6417 2018-11-05 4416.078953396769
6477 2018-11-15 3118.874605308971
6478 2018-11-15 3252.384492329036
6479 2018-11-16 3388.769954692287
6482 2018-11-18 3526.914328727645
6483 2018-11-19 3579.0667582565197
6484 2018-11-20 3586.188647179382
6485 2018-11-21 3596.58540067571
