Run Date Lifetime Uncertainty
6977 2019-03-02 4927.246993224196 3.0637600865504147
6978 2019-03-02 4959.575081256363 4.537457727710508
6988 2019-03-05 4902.5460981730575 3.111210898357254
6990 2019-03-06 4874.234202210581 3.0275532459428303
6992 2019-03-08 4980.776601624637 3.243265261748072
6993 2019-03-09 4988.877557571734 3.0492681984313568
6994 2019-03-10 5101.042583823923 3.0788325763909565
6995 2019-03-10 5198.634031856681 4.449388250442414
6996 2019-03-11 5347.02569824093 5.6644647865287
6997 2019-03-12 5383.54367854798 3.3385859925163612
7002 2019-03-14 5277.269801890323 4.042661573442449
7005 2019-03-14 5297.88947926554 4.675702322131529
7006 2019-03-15 5237.729318681111 3.2282117912199744
7007 2019-03-16 5270.093151592128 3.6343386560778304
7010 2019-03-17 5241.388814738417 3.218954937273744
7011 2019-03-18 5316.3427126279885 3.354279991824934
7012 2019-03-19 5334.609515987471 3.307841716659161
7013 2019-03-21 5343.06383546894 3.2272755874058237
7014 2019-03-22 5329.035160857577 3.4066924529180085
7015 2019-03-23 5280.923519724832 3.3415034858730257
7016 2019-03-24 5319.164749463967 3.4802769082741003
7017 2019-03-24 5435.495497693874 8.218153794387382
7018 2019-03-25 5425.733530489785 6.503775474622638
7023 2019-03-25 5332.927986176914 5.236963906949745
7036 2019-03-27 5329.908089944069 3.477747356601787
7037 2019-03-28 5315.071246446334 3.5748458022428635
7038 2019-03-29 5275.242985830305 3.5310967874477193
7039 2019-03-30 5363.351646879564 4.128770743233354
7042 2019-04-01 5133.066796945505 4.838505561415099
7044 2019-04-03 5917.703731835607 4.0443131018672736
7046 2019-04-04 5803.58866490419 4.066173602520045
7047 2019-04-05 5753.497902865184 4.059837903598842
7049 2019-04-07 5788.818677056008 4.029002847234033
7050 2019-04-09 5773.711620607319 4.908306548598141
7065 2019-04-10 5665.815160189606 3.9780120001323094
7066 2019-04-11 5630.670931283275 3.967288321782395
7067 2019-04-12 5624.348519877914 3.999762030538575
7069 2019-04-13 5662.668667838648 4.035787486580776
7070 2019-04-14 5684.640647774503 3.906891969113315
7071 2019-04-15 5710.804493994622 3.856744677750903
7072 2019-04-16 5798.467971350557 3.9741103999982057
7073 2019-04-17 5628.764322812294 4.176361385032066
7074 2019-04-18 5388.203771310805 4.09761978803519
7075 2019-04-19 5222.248920113748 3.9281897907542196
7079 2019-04-20 5137.433982857668 3.9155597456659144
7084 2019-04-23 4979.032661198772 4.018652132269599
7085 2019-04-23 5078.802953761162 4.721390378588328
7086 2019-04-25 5145.059243991568 3.525570764079153
7087 2019-04-26 5163.82308108111 4.65639214663537
7088 2019-04-26 5197.626839319792 3.508067999062925
7089 2019-04-29 5210.860585140512 3.430527032970018
7090 2019-04-30 5299.597969716139 5.049930791492812
7091 2019-05-01 5305.402245487912 4.767866080739937
7092 2019-05-02 5325.630941866065 4.876802376329851
7094 2019-05-03 5350.94922792828 4.779980817172985
7095 2019-05-04 5354.839309844445 4.747114319395722
7096 2019-05-05 5376.92976507461 4.690439497592403
7097 2019-05-06 5409.7316335930755 5.15412908692299
7101 2019-05-07 5388.618790203656 4.806769844853203
7102 2019-05-07 5384.158535571275 3.4914745819310258
7104 2019-05-09 5275.568473396278 4.5425944128052445
7105 2019-05-10 5353.753199859755 4.475828942078907
7106 2019-05-10 5398.552506533051 3.1252757511438682
7107 2019-05-12 5359.307816928319 3.710161588162588
7108 2019-05-13 5409.212410332511 3.1990665148887887
7109 2019-05-13 5550.395343061581 7.31975084359257
7112 2019-05-14 5380.403678397262 4.5345279357120685
7113 2019-05-15 5391.168912337632 4.612508151250496
7114 2019-05-16 5417.144312337541 3.3440645160095954
7115 2019-05-17 5440.493763948979 4.712777517357688
