Run Date Resolution
7002 2019-03-14 3.774560864394012
7005 2019-03-14 3.78526771050317
7006 2019-03-15 3.82172637418439
7007 2019-03-16 3.858792638261604
7010 2019-03-17 4.27379490556103
7011 2019-03-18 3.82166289826417
7012 2019-03-19 3.80528561048679
7013 2019-03-21 3.832539165836524
7014 2019-03-22 3.74829790164344
7015 2019-03-23 3.833942980989661
7016 2019-03-24 3.776270567153618
7017 2019-03-24 7.05907453934823
7018 2019-03-25 6.355570941566262
7023 2019-03-25 3.73623051153266
7036 2019-03-27 3.74921944943753
7037 2019-03-28 3.791867321246859
7038 2019-03-29 3.74378350305457
7039 2019-03-30 3.807291799093212
7042 2019-04-01 3.90135210601405
7044 2019-04-03 3.829533335687993
7046 2019-04-04 3.82925270459775
7047 2019-04-05 3.774743376006642
7049 2019-04-07 3.84557727114158
7050 2019-04-09 3.738069972811147
7065 2019-04-10 3.822841579554566
7066 2019-04-11 3.88682455943499
7067 2019-04-12 3.832650835885819
7069 2019-04-13 3.806601160832513
7070 2019-04-14 3.777306247705209
7071 2019-04-15 3.78641558129274
7072 2019-04-16 3.79071755729719
7073 2019-04-17 3.78189091346238
7074 2019-04-18 3.80263771556758
7075 2019-04-19 3.76238505702774
7079 2019-04-20 3.789499548942493
7084 2019-04-23 3.760930235482598
7085 2019-04-23 3.879765799425039
7086 2019-04-25 3.794514048200099
7087 2019-04-26 3.697920346458293
7088 2019-04-26 3.792755282872458
7089 2019-04-29 3.739542705569931
7090 2019-04-30 3.772310062793041
7091 2019-05-01 3.696089067716664
7092 2019-05-02 3.71195028012963
7094 2019-05-03 3.67401667160311
7095 2019-05-04 3.76330780958028
7096 2019-05-05 3.70150069432678
